paste_count_10s,copy_count_10s,rightclick_count_10s,tab_switch_count_10s,selection_count_10s,mousemove_count_10s,keydown_count_10s,iki_mean_10s,iki_std_10s,event_rate_10s,label
0,0,0,0,0,102,112,182.96184260712087,44.34083588686247,21.4,0
0,0,0,0,2,122,92,134.23147399627655,42.52661856386009,21.4,0
0,0,0,0,1,123,100,253.5926812389404,32.49546078813965,22.3,0
0,0,0,0,1,87,88,182.7582470148944,42.19938714144796,17.5,0
0,1,1,1,1,87,63,155.52161068874375,11.649404235646507,15.1,1
0,1,1,0,1,123,105,200.15398862211416,41.44248580659605,22.8,0
1,0,2,4,6,66,58,115.56168504275897,6.637058328766863,12.5,1
0,0,0,0,1,134,114,124.13121927419792,47.69926113018117,24.8,0
1,0,0,1,2,113,55,125.20953839351323,17.968651926950514,16.9,1
2,2,1,0,7,81,73,136.52100900729818,12.588191003267156,15.8,1
0,0,0,0,1,109,90,188.84863347541102,48.17608525720202,19.9,0
0,0,0,0,3,99,102,152.94640239465295,28.766376137813122,20.1,0
1,0,0,0,0,126,79,193.8976987304783,55.6726868261835,20.5,0
2,1,2,1,2,97,53,110.63343475197169,10.308528564014077,15.3,1
1,0,0,2,2,89,56,111.13370744391571,20.46190850041475,14.6,1
3,1,0,2,2,84,44,74.30550204932868,17.12830291307565,13.2,1
1,1,0,4,4,79,66,102.47515629208038,4.905503024577901,14.7,1
0,0,0,0,0,138,66,175.17981483005943,45.61848741555631,20.4,0
0,1,0,0,4,134,59,156.8165651787457,46.93921037382336,19.3,0
0,0,0,0,1,116,109,315.96947067049723,44.687734645248945,22.5,0
1,0,0,2,3,99,51,100.74225274020596,11.90712509085304,15.1,1
0,0,0,0,1,93,83,232.50525549311345,41.18313744624878,17.6,0
0,3,2,0,4,91,64,117.5742791270167,13.704396798954217,15.8,1
1,0,2,0,3,59,68,154.23205363611947,17.359336331615008,12.8,1
1,0,1,2,6,70,59,113.88454645212605,18.573585040046684,13.0,1
4,1,0,1,3,95,50,136.39990215043684,8.37556803221351,15.0,1
3,0,1,3,4,103,62,135.7552088497412,18.592793729771635,16.8,1
0,0,0,0,1,113,89,132.9778724842164,35.02771806992509,20.2,0
0,0,1,0,1,100,73,157.95395130603595,52.02473746600481,17.3,0
0,0,0,0,0,146,116,136.45821567691254,32.03471428397127,26.2,0
0,1,0,0,2,137,87,170.01497307804016,25.39138407960928,22.4,0
0,0,0,0,2,93,81,212.82596337772037,37.72962987781049,17.4,0
1,3,0,2,4,81,57,154.52046770818455,6.313761502998777,14.2,1
0,0,0,0,1,109,105,122.72965709307087,40.15249508989444,21.4,0
3,0,0,1,3,61,54,115.27653568941075,5.153957374477509,11.8,1
0,0,0,0,2,109,67,189.0728899717266,58.36735964922751,17.6,0
3,1,1,3,3,60,62,80.64784837592954,11.303770380399389,12.6,1
0,0,0,0,2,117,108,246.26907456857444,44.61056379294763,22.5,0
0,0,1,0,2,109,107,224.84662084126504,52.533293468667225,21.6,0
3,0,0,3,5,89,61,102.70791981933945,9.951827292034032,15.3,1
0,0,0,0,1,147,89,234.04878332830725,35.952905974036575,23.6,0
2,0,2,2,5,76,73,113.69690971061806,8.968707432967435,15.1,1
1,0,1,0,3,101,90,231.77637981891615,36.88196843890252,19.1,0
1,0,1,2,1,91,55,93.97465822689556,12.075659452291287,14.7,1
0,0,0,0,4,107,81,185.11519702298563,47.191196259017545,18.8,0
2,2,0,2,4,87,73,139.80494571634708,14.707682141373645,16.4,1
0,0,0,0,2,90,104,170.247539663193,43.030750177887825,19.4,0
0,0,0,0,0,145,91,166.51652722955245,38.92940691328433,23.6,0
0,1,0,0,3,118,96,137.55218356566135,35.810989795458,21.4,0
0,0,1,4,2,81,58,127.9577991254218,13.075507140159544,13.9,1
1,0,0,0,0,84,96,189.26422279373125,36.788885634227825,18.0,0
0,0,0,0,0,108,104,244.48408520697285,29.065937258033923,21.2,0
4,4,1,1,1,89,42,107.1430713927963,0.8172147739986162,13.9,1
1,1,0,1,2,86,70,89.84012758402959,8.425299214018274,15.8,1
0,0,0,0,4,100,92,211.1400197914475,37.14978422948808,19.2,0
0,0,0,0,3,130,72,157.20496575908498,31.560139552033142,20.2,0
0,0,0,1,2,109,80,165.62961215145575,41.319481966199255,18.9,0
0,0,0,0,0,132,81,198.88995698370005,32.08186366492545,21.3,0
0,0,0,0,0,144,83,120.32646974787566,53.0630953109045,22.7,0
0,0,0,0,1,128,80,233.27113418452174,50.006857346491536,20.8,0
1,0,0,0,3,113,98,132.87653391091231,36.23981282420572,21.1,0
2,0,2,2,5,67,44,139.19544979336638,15.230141557158854,11.3,1
0,0,0,0,2,115,81,208.21989194827495,31.889090850370593,19.6,0
2,1,0,1,2,69,57,56.84720505010683,7.593665095254165,12.9,1
0,0,0,0,0,131,95,130.85602606672666,27.579235982925375,22.6,0
1,3,1,2,4,43,67,98.9262765983666,10.744281800530882,11.4,1
0,0,2,0,1,115,114,201.97470128206686,30.80118241576787,22.9,0
